From	Entry	Reviewed	Entry Name	Protein names	Gene Names	Organism	Length	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (molecular function)	Gene Ontology IDs
A0A257CP47	A0A257CP47	unreviewed	A0A257CP47_9BURK	GntR family transcriptional regulator	CFE43_14940	Burkholderiales bacterium PBB3	619			catalytic activity [GO:0003824]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; pyridoxal phosphate binding [GO:0030170]	GO:0003677; GO:0003700; GO:0003824; GO:0030170
A0A095X9M9	A0A095X9M9	unreviewed	A0A095X9M9_9FIRM	Cysteine desulfurase (EC 2.8.1.7)	HMPREF1634_08650	Tissierellia bacterium S7-1-4	407	cysteine metabolic process [GO:0006534]		cysteine desulfurase activity [GO:0031071]; pyridoxal phosphate binding [GO:0030170]	GO:0006534; GO:0030170; GO:0031071
A0A0G1BN19	A0A0G1BN19	unreviewed	A0A0G1BN19_9BACT	Cysteine desulfurase	UU98_C0004G0004	Parcubacteria group bacterium GW2011_GWD2_42_14	394			catalytic activity [GO:0003824]	GO:0003824
A0A0L9U7N0	A0A0L9U7N0	unreviewed	A0A0L9U7N0_PHAAN	Amine oxidase domain-containing protein	LR48_Vigan03g182100	Phaseolus angularis (Azuki bean) (Vigna angularis)	217			oxidoreductase activity [GO:0016491]	GO:0016491
H6SPD2	H6SPD2	unreviewed	H6SPD2_PARPM	cysteine desulfurase (EC 2.8.1.7)	RSPPHO_02831	Pararhodospirillum photometricum DSM 122	470	cysteine metabolic process [GO:0006534]		cysteine desulfurase activity [GO:0031071]; pyridoxal phosphate binding [GO:0030170]	GO:0006534; GO:0030170; GO:0031071
A0A1X4N2X9	A0A1X4N2X9	unreviewed	A0A1X4N2X9_9PROT	Cysteine desulfurase IscS (EC 2.8.1.7)	iscS THS27_24760	Thalassospira sp. MCCC 1A01428	407	[2Fe-2S] cluster assembly [GO:0044571]	cytoplasm [GO:0005737]	2 iron, 2 sulfur cluster binding [GO:0051537]; cysteine desulfurase activity [GO:0031071]; metal ion binding [GO:0046872]; pyridoxal phosphate binding [GO:0030170]	GO:0005737; GO:0030170; GO:0031071; GO:0044571; GO:0046872; GO:0051537
A4S300	A4S300	unreviewed	A4S300_OSTLU	Aminotransferase class V domain-containing protein	OSTLU_16873	Ostreococcus lucimarinus (strain CCE9901)	405			catalytic activity [GO:0003824]	GO:0003824
M5UPS3	M5UPS3	unreviewed	M5UPS3_9BACT	Oxidoreductase	RSSM_00522	Rhodopirellula sallentina SM41	481			oxidoreductase activity [GO:0016491]	GO:0016491
Q7V4I3	Q7V4I3	unreviewed	Q7V4I3_PROMM	Zeta-carotene desaturase (EC 1.3.5.6) (9,9'-di-cis-zeta-carotene desaturase)	crtQ PMT_1968	Prochlorococcus marinus (strain MIT 9313)	490	carotenoid biosynthetic process [GO:0016117]		7,9,9'-tricis-neurosporene:quinone oxidoreductase activity [GO:0052887]; 9,9'-dicis-carotene:quinone oxidoreductase activity [GO:0052886]; carotene 7,8-desaturase activity [GO:0016719]	GO:0016117; GO:0016719; GO:0052886; GO:0052887
A0A158PH95	A0A158PH95	unreviewed	A0A158PH95_ANGCS	SWIRM domain-containing protein	ACOC_LOCUS6158	Angiostrongylus costaricensis (Nematode worm)	1195			calcium ion binding [GO:0005509]; FAD-dependent H3K4me/H3K4me3 demethylase activity [GO:0140682]; nucleoside diphosphate phosphatase activity [GO:0017110]	GO:0005509; GO:0017110; GO:0140682
A0A0Q4FYN9	A0A0Q4FYN9	unreviewed	A0A0Q4FYN9_9BURK	AMP-dependent synthetase	ASE76_10080	Xylophilus sp. Leaf220	419				
Q5YVD2	Q5YVD2	unreviewed	Q5YVD2_NOCFA	Putative acyl-CoA synthetase	NFA_30120	Nocardia farcinica (strain IFM 10152)	505				
N4VUF1	N4VUF1	unreviewed	N4VUF1_COLOR	Ammonium transporter	MEP3 Cob_v002142	Colletotrichum orbiculare (strain 104-T / ATCC 96160 / CBS 514.97 / LARS 414 / MAFF 240422) (Cucumber anthracnose fungus) (Colletotrichum lagenarium)	487		plasma membrane [GO:0005886]	ammonium transmembrane transporter activity [GO:0008519]	GO:0005886; GO:0008519
A0A1R0H1F7	A0A1R0H1F7	unreviewed	A0A1R0H1F7_9FUNG	Long chain acyl-CoA synthetase 7, peroxisomal	AYI68_g2892	Smittium mucronatum	678				
A0A0N1FV50	A0A0N1FV50	unreviewed	A0A0N1FV50_9ACTN	Long-chain-fatty-acid--(Acyl-carrier-protein) ligase (EC 6.2.1.20)	OK074_6622	Actinobacteria bacterium OK074	575			long-chain fatty acid [acyl-carrier-protein] ligase activity [GO:0008922]	GO:0008922
A0A1G4VB22	A0A1G4VB22	unreviewed	A0A1G4VB22_9FIRM	Acyl carrier protein	SAMN02910436_00293	Ruminococcaceae bacterium P7	639				
A0A0W8I0K5	A0A0W8I0K5	unreviewed	A0A0W8I0K5_9MICO	AMP-dependent synthetase	AVL62_12900	Serinicoccus chungangensis	595				
U6KY42	U6KY42	unreviewed	U6KY42_EIMTE	Long-chain-fatty-acid--CoA ligase (EC 6.2.1.3)	ETH_00011645	Eimeria tenella (Coccidian parasite)	770			ATP binding [GO:0005524]; long-chain fatty acid-CoA ligase activity [GO:0004467]	GO:0004467; GO:0005524
A0A0H5BB19	A0A0H5BB19	unreviewed	A0A0H5BB19_BLAVI	Non-ribosomal peptide synthetase modules (Tyrocidine synthase III)	tycC_2 BV133_1844 BVIRIDIS_22890	Blastochloris viridis (Rhodopseudomonas viridis)	1101	organic substance biosynthetic process [GO:1901576]		catalytic activity [GO:0003824]; phosphopantetheine binding [GO:0031177]	GO:0003824; GO:0031177; GO:1901576
D3FXZ8	D3FXZ8	unreviewed	D3FXZ8_ALKPO	Long-chain fatty-acid-CoA ligase	lcfB BpOF4_13530	Alkalihalophilus pseudofirmus (strain ATCC BAA-2126 / JCM 17055 / OF4) (Bacillus pseudofirmus)	547			ligase activity [GO:0016874]	GO:0016874
M4DIY9	M4DIY9	unreviewed	M4DIY9_BRARP	4-coumarate--CoA ligase-like 2		Brassica rapa subsp. pekinensis (Chinese cabbage) (Brassica pekinensis)	548		peroxisome [GO:0005777]	CoA-ligase activity [GO:0016405]	GO:0005777; GO:0016405
A0A0P6WUV7	A0A0P6WUV7	unreviewed	A0A0P6WUV7_9BACI	AMP-dependent synthetase	AM506_08160	Rossellomorea vietnamensis	531				
A0A0Q7ZEY0	A0A0Q7ZEY0	unreviewed	A0A0Q7ZEY0_9ACTN	AMP-dependent synthetase	ASD66_23810	Nocardioides sp. Root151	551				
A0A1Y3WGI5	A0A1Y3WGI5	unreviewed	A0A1Y3WGI5_9FIRM	Uncharacterized protein	B5G11_01055	Drancourtella sp. An57	509				
A0A1H6XLI0	A0A1H6XLI0	unreviewed	A0A1H6XLI0_9BACT	O-succinylbenzoic acid--CoA ligase	SAMN04487995_4058	Dyadobacter koreensis	353			ligase activity [GO:0016874]	GO:0016874
A0A1Y5TSS6	A0A1Y5TSS6	unreviewed	A0A1Y5TSS6_9PROT	Phenylacetate-coenzyme A ligase (EC 6.2.1.30)	paaK_1 OCH7691_03301	Oceanibacterium hippocampi	456			phenylacetate-CoA ligase activity [GO:0047475]	GO:0047475
A0A1H9T4R2	A0A1H9T4R2	unreviewed	A0A1H9T4R2_9BACI	Acetyl-CoA synthetase	SAMN05518872_102632	Psychrobacillus sp. OK032	573			ligase activity [GO:0016874]	GO:0016874
A0A1I2QQ78	A0A1I2QQ78	unreviewed	A0A1I2QQ78_9SPHN	Acyl-CoA ligase (AMP-forming), exosortase A-associated	SAMN05518801_11361	Novosphingobium sp. CF614	512			ligase activity [GO:0016874]	GO:0016874
A0A0Q4XV32	A0A0Q4XV32	unreviewed	A0A0Q4XV32_9HYPH	AMP-dependent synthetase	ASF26_03700	Methylobacterium sp. Leaf93	511			ligase activity [GO:0016874]	GO:0016874
B6FWN9	B6FWN9	unreviewed	B6FWN9_PEPHT	AMP-binding enzyme	CLOHIR_00288	Peptacetobacter hiranonis (strain DSM 13275 / JCM 10541 / KCTC 15199 / TO-931) (Clostridium hiranonis)	744			catalytic activity [GO:0003824]	GO:0003824
A0A1B8NW87	A0A1B8NW87	unreviewed	A0A1B8NW87_HALEL	Acetyl-coenzyme A synthetase (EC 6.2.1.1)	acsA_6 A8U91_03305	Halomonas elongata	401			acetate-CoA ligase activity [GO:0003987]	GO:0003987
Q0CCA6	Q0CCA6	unreviewed	Q0CCA6_ASPTN	Carrier domain-containing protein	ATEG_08678	Aspergillus terreus (strain NIH 2624 / FGSC A1156)	920	organonitrogen compound biosynthetic process [GO:1901566]		oxidoreductase activity [GO:0016491]	GO:0016491; GO:1901566
A0A1A3QVJ6	A0A1A3QVJ6	unreviewed	A0A1A3QVJ6_9MYCO	Acyl-CoA synthetase	A5655_03535	Mycobacterium sp. 1081908.1	514				
K4QW10	K4QW10	unreviewed	K4QW10_STRDJ	Long-chain-fatty-acid--CoA ligase FadD15 (EC 6.2.1.3)	fadD15 BN159_3887	Streptomyces davaonensis (strain DSM 101723 / JCM 4913 / KCC S-0913 / 768)	646			long-chain fatty acid-CoA ligase activity [GO:0004467]	GO:0004467
M7ZJ26	M7ZJ26	unreviewed	M7ZJ26_TRIUA	AMP-dependent synthetase/ligase domain-containing protein	TRIUR3_07799	Triticum urartu (Red wild einkorn) (Crithodium urartu)	487	spindle assembly [GO:0051225]	HAUS complex [GO:0070652]; spindle microtubule [GO:0005876]	microtubule minus-end binding [GO:0051011]	GO:0005876; GO:0051011; GO:0051225; GO:0070652
A0A0S9R897	A0A0S9R897	unreviewed	A0A0S9R897_9ACTN	AMP-dependent synthetase	ASF37_07170	Aeromicrobium sp. Leaf289	531				
S4ASQ4	S4ASQ4	unreviewed	S4ASQ4_9ACTN	Putative Long-chain-fatty-acid--CoA ligase FadD19	STRAU_2507	Streptomyces aurantiacus JA 4570	536			ligase activity [GO:0016874]	GO:0016874
A0A0D2H6K4	A0A0D2H6K4	unreviewed	A0A0D2H6K4_9EURO	AMP-dependent synthetase/ligase domain-containing protein	Z520_06917	Fonsecaea multimorphosa CBS 102226	575				
A0A1I3RTH1	A0A1I3RTH1	unreviewed	A0A1I3RTH1_9GAMM	Fatty-acyl-CoA synthase	SAMN05216429_10348	Marinobacter persicus	543				
A0A1X1TB64	A0A1X1TB64	unreviewed	A0A1X1TB64_9MYCO	ATP-dependent acyl-CoA ligase	AWC00_13270 MCNS_37360	Mycobacterium conspicuum	529			ligase activity [GO:0016874]	GO:0016874
G8N7N2	G8N7N2	unreviewed	G8N7N2_9DEIN	Medium-chain-fatty-acid-CoA ligase	TCCBUS3UF1_1000	Thermus sp. CCB_US3_UF1	534			ligase activity [GO:0016874]	GO:0016874
A0A1U9ZSF0	A0A1U9ZSF0	unreviewed	A0A1U9ZSF0_9ACTN	GntR family transcriptional regulator	BKM31_04625	Nonomuraea sp. ATCC 55076	443			catalytic activity [GO:0003824]; DNA binding [GO:0003677]; DNA-binding transcription factor activity [GO:0003700]; pyridoxal phosphate binding [GO:0030170]	GO:0003677; GO:0003700; GO:0003824; GO:0030170
D2S0V2	D2S0V2	unreviewed	D2S0V2_HALTV	AMP-dependent synthetase and ligase	Htur_4177	Haloterrigena turkmenica (strain ATCC 51198 / DSM 5511 / JCM 9101 / NCIMB 13204 / VKM B-1734 / 4k) (Halococcus turkmenicus)	546			ligase activity [GO:0016874]	GO:0016874
Q8XRB5	Q8XRB5	unreviewed	Q8XRB5_RALSO	Aminotransferase (EC 2.6.1.-)	aatA2 RSp0943	Ralstonia solanacearum (strain GMI1000) (Pseudomonas solanacearum)	402	biosynthetic process [GO:0009058]		pyridoxal phosphate binding [GO:0030170]; transaminase activity [GO:0008483]	GO:0008483; GO:0009058; GO:0030170
A0A1Q4Y3C5	A0A1Q4Y3C5	unreviewed	A0A1Q4Y3C5_9PSEU	Glycoside hydrolase family 13	A6A25_30545	Saccharothrix sp. CB00851	94	carbohydrate metabolic process [GO:0005975]		hydrolase activity [GO:0016787]	GO:0005975; GO:0016787
A0A1D6INZ5	A0A1D6INZ5	unreviewed	A0A1D6INZ5_MAIZE	SNF1-related protein kinase regulatory subunit beta-1	ZEAMMB73_Zm00001d022545	Zea mays (Maize)	114	phosphorylation [GO:0016310]		kinase activity [GO:0016301]	GO:0016301; GO:0016310
A0A1I6UJ85	A0A1I6UJ85	unreviewed	A0A1I6UJ85_9BACI	2-succinylbenzoate--CoA ligase (EC 6.2.1.26) (o-succinylbenzoyl-CoA synthetase) (OSB-CoA synthetase)	menE SAMN04488145_10746	Bacillus sp. 103mf	481	menaquinone biosynthetic process [GO:0009234]		ATP binding [GO:0005524]; o-succinylbenzoate-CoA ligase activity [GO:0008756]	GO:0005524; GO:0008756; GO:0009234
A0A0Q5MCK0	A0A0Q5MCK0	unreviewed	A0A0Q5MCK0_9MICO	O-succinylbenzoate--CoA ligase	ASF88_02505	Leifsonia sp. Leaf336	370			ligase activity [GO:0016874]	GO:0016874
M5WDH6	M5WDH6	unreviewed	M5WDH6_PRUPE	4-coumarate--CoA ligase	PRUPE_7G129300	Prunus persica (Peach) (Amygdalus persica)	543			CoA-ligase activity [GO:0016405]	GO:0016405
A0A1C9VCR7	A0A1C9VCR7	unreviewed	A0A1C9VCR7_9BURK	AMP-dependent synthetase	Q5W_06055	Hydrogenophaga sp. PBC	514				
A0A0D2GMM4	A0A0D2GMM4	unreviewed	A0A0D2GMM4_9EURO	4-coumarate-CoA ligase	Z518_11020	Rhinocladiella mackenziei CBS 650.93	563		membrane [GO:0016020]		GO:0016020
A0A0J0YMI8	A0A0J0YMI8	unreviewed	A0A0J0YMI8_9ACTN	Acetate--CoA ligase (EC 6.2.1.1)	IMCC26207_10433	Actinobacteria bacterium IMCC26207	676	acetyl-CoA biosynthetic process from acetate [GO:0019427]		acetate-CoA ligase activity [GO:0003987]; AMP binding [GO:0016208]; ATP binding [GO:0005524]	GO:0003987; GO:0005524; GO:0016208; GO:0019427
A0A0H4XJ64	A0A0H4XJ64	unreviewed	A0A0H4XJ64_9DELT	3-methylmercaptopropionyl-CoA ligase (DmdB)	A176_005224	Myxococcus hansupus	559			ligase activity [GO:0016874]	GO:0016874
A0A0F7TYJ1	A0A0F7TYJ1	unreviewed	A0A0F7TYJ1_PENBI	Aminotransferase class I/classII domain-containing protein	PMG11_09013	Penicillium brasilianum	585	biosynthetic process [GO:0009058]		catalytic activity [GO:0003824]; pyridoxal phosphate binding [GO:0030170]	GO:0003824; GO:0009058; GO:0030170
R5XTT8	R5XTT8	unreviewed	R5XTT8_9FIRM	AMP-binding enzyme	BN695_00560	Anaerotruncus sp. CAG:528	560				
L7F113	L7F113	unreviewed	L7F113_9ACTN	Long-chain-fatty-acid--CoA ligase	STRTUCAR8_05744	Streptomyces turgidiscabies Car8	558			ligase activity [GO:0016874]	GO:0016874
S0G6I8	S0G6I8	unreviewed	S0G6I8_9DELT	Phenylacetate-CoA ligase (EC 6.2.1.30)	Dpo_2c00800	Desulfotignum phosphitoxidans DSM 13687	443			phenylacetate-CoA ligase activity [GO:0047475]	GO:0047475
A0A1B8FD35	A0A1B8FD35	unreviewed	A0A1B8FD35_9PEZI	Aminopeptidase P N-terminal domain-containing protein	VE02_09956	Pseudogymnoascus sp. 03VT05	459			manganese ion binding [GO:0030145]; metalloaminopeptidase activity [GO:0070006]	GO:0030145; GO:0070006
A0A076MYU8	A0A076MYU8	unreviewed	A0A076MYU8_AMYME	Phenylacetate--CoA ligase	paaK AMETH_3994	Amycolatopsis methanolica 239	429			ligase activity [GO:0016874]	GO:0016874
A0A1Q3BY79	A0A1Q3BY79	unreviewed	A0A1Q3BY79_CEPFO	WD40 domain-containing protein	CFOL_v3_16463	Cephalotus follicularis (Albany pitcher plant)	318		nucleus [GO:0005634]		GO:0005634
A0A085N808	A0A085N808	unreviewed	A0A085N808_9BILA	AMP-dependent synthetase/ligase domain-containing protein	M513_09892 M514_09892	Trichuris suis (pig whipworm)	723				
A0A1B8U219	A0A1B8U219	unreviewed	A0A1B8U219_9FLAO	Xaa-pro aminopeptidase	LPB3_02695	Polaribacter vadi	540			manganese ion binding [GO:0030145]; metalloaminopeptidase activity [GO:0070006]	GO:0030145; GO:0070006
A0A1S1Y7Z3	A0A1S1Y7Z3	unreviewed	A0A1S1Y7Z3_9GAMM	Uncharacterized protein	BJL95_18005	Methylomonas sp. LWB	146				
A0A168EYC5	A0A168EYC5	unreviewed	A0A168EYC5_9HYPO	Anaphase-promoting complex subunit 4	AAL_01845	Moelleriella libera RCEF 2490	736	anaphase-promoting complex-dependent catabolic process [GO:0031145]; cell cycle [GO:0007049]; cell division [GO:0051301]; regulation of mitotic metaphase/anaphase transition [GO:0030071]	anaphase-promoting complex [GO:0005680]		GO:0005680; GO:0007049; GO:0030071; GO:0031145; GO:0051301
F7AIC5	F7AIC5	unreviewed	F7AIC5_ORNAN	G-protein coupled receptors family 3 profile domain-containing protein		Ornithorhynchus anatinus (Duckbill platypus)	809		plasma membrane [GO:0005886]	G protein-coupled receptor activity [GO:0004930]	GO:0004930; GO:0005886
G4Z6L0	G4Z6L0	unreviewed	G4Z6L0_PHYSP	Uncharacterized protein	PHYSODRAFT_382665	Phytophthora sojae (strain P6497) (Soybean stem and root rot agent) (Phytophthora megasperma f. sp. glycines)	136				
A0A178EIR5	A0A178EIR5	unreviewed	A0A178EIR5_9PLEO	Ankyrin	IQ07DRAFT_283500	Pyrenochaeta sp. DS3sAY3a	464				
A0A1Y2EN95	A0A1Y2EN95	unreviewed	A0A1Y2EN95_9FUNG	Ankyrin	LY90DRAFT_323905	Neocallimastix californiae	295				
D8IE44	D8IE44	unreviewed	D8IE44_BRAP9	TPR domain-containing protein	BP951000_1433	Brachyspira pilosicoli (strain ATCC BAA-1826 / 95/1000)	356				
A2ERI9	A2ERI9	unreviewed	A2ERI9_TRIV3	Ankyrin repeat protein, putative	TVAG_059140	Trichomonas vaginalis (strain ATCC PRA-98 / G3)	701				
A0A061AJ59	A0A061AJ59	unreviewed	A0A061AJ59_9MOLU	Xaa-Pro aminopeptidase	pepP Aocu_09540	Acholeplasma oculi	415			manganese ion binding [GO:0030145]; metalloaminopeptidase activity [GO:0070006]	GO:0030145; GO:0070006
A0A1Z4RSN8	A0A1Z4RSN8	unreviewed	A0A1Z4RSN8_9CHRO	Peptidase M24	NIES4102_24990	Chondrocystis sp. NIES-4102	440			manganese ion binding [GO:0030145]; metalloaminopeptidase activity [GO:0070006]	GO:0030145; GO:0070006
A0A2G2WUD8	A0A2G2WUD8	unreviewed	A0A2G2WUD8_CAPBA	PGG domain-containing protein	CQW23_12997	Capsicum baccatum (Peruvian pepper)	340		membrane [GO:0016020]		GO:0016020
A0A1Y0IHH5	A0A1Y0IHH5	unreviewed	A0A1Y0IHH5_9GAMM	Ankyrin repeat-containing protein	OLMES_4875	Oleiphilus messinensis	247				
A0A1W5D2F8	A0A1W5D2F8	unreviewed	A0A1W5D2F8_9LECA	Ankyrin repeat domain containing protein		Lasallia pustulata	196				
A0A1S3KM61	A0A1S3KM61	unreviewed	A0A1S3KM61_SALSA	Actin-binding protein anillin-like isoform X2	LOC106560912	Salmo salar (Atlantic salmon)	984				
A0A1I7VW45	A0A1I7VW45	unreviewed	A0A1I7VW45_LOALO	ANK_REP_REGION domain-containing protein		Loa loa (Eye worm) (Filaria loa)	232				
A0A075R616	A0A075R616	unreviewed	A0A075R616_BRELA	Ankyrin repeat protein	BRLA_c022770	Brevibacillus laterosporus LMG 15441	219				
A0A1I8GL07	A0A1I8GL07	unreviewed	A0A1I8GL07_9PLAT	ANK_REP_REGION domain-containing protein		Macrostomum lignano	702				
A0A2B4RFZ6	A0A2B4RFZ6	unreviewed	A0A2B4RFZ6_STYPI	Ankyrin repeat and EF-hand domain-containing protein 1	Ankef1 AWC38_SpisGene20599	Stylophora pistillata (Smooth cauliflower coral)	677			glycosyltransferase activity [GO:0016757]	GO:0016757
U4LMT4	U4LMT4	unreviewed	U4LMT4_PYROM	Similar to Vegetative incompatibility protein HET-E-1 acc. no. Q00808	PCON_14293	Pyronema omphalodes (strain CBS 100304) (Pyronema confluens)	798				
B8NTK7	B8NTK7	unreviewed	B8NTK7_ASPFN	Cortactin-binding protein, putative	AFLA_099370 G4B84_009163	Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167)	376				
A0A183ED26	A0A183ED26	unreviewed	A0A183ED26_9BILA	ANK_REP_REGION domain-containing protein	GPUH_LOCUS18867	Gongylonema pulchrum	337		membrane [GO:0016020]		GO:0016020
A1DAD4	A1DAD4	unreviewed	A1DAD4_NEOFI	Ankyrin repeat protein	NFIA_094440	Neosartorya fischeri (strain ATCC 1020 / DSM 3700 / CBS 544.65 / FGSC A1164 / JCM 1740 / NRRL 181 / WB 181) (Aspergillus fischerianus)	381				
A0A139HST6	A0A139HST6	unreviewed	A0A139HST6_9PEZI	Uncharacterized protein	AC578_3730	Pseudocercospora eumusae	549				
I3N2K7	I3N2K7	unreviewed	I3N2K7_ICTTR	NFKB inhibitor beta	NFKBIB	Ictidomys tridecemlineatus (Thirteen-lined ground squirrel) (Spermophilus tridecemlineatus)	359	cellular response to lipopolysaccharide [GO:0071222]; inflammatory response [GO:0006954]; regulation of I-kappaB kinase/NF-kappaB signaling [GO:0043122]			GO:0006954; GO:0043122; GO:0071222
D0N543	D0N543	unreviewed	D0N543_PHYIT	Uncharacterized protein	PITG_06555	Phytophthora infestans (strain T30-4) (Potato late blight agent)	190				
A0A163WQW4	A0A163WQW4	unreviewed	A0A163WQW4_9HYPH	Ankyrin	OA90_03170	Labrenzia sp. OB1	507				
M1WCP9	M1WCP9	unreviewed	M1WCP9_CLAP2	Related to ankyrin 3	CPUR_05603	Claviceps purpurea (strain 20.1) (Ergot fungus) (Sphacelia segetum)	1030				
A0A067BVB0	A0A067BVB0	unreviewed	A0A067BVB0_SAPPC	Uncharacterized protein	SPRG_13522	Saprolegnia parasitica (strain CBS 223.65)	242				
A0A1J4MBB9	A0A1J4MBB9	unreviewed	A0A1J4MBB9_9CRYT	Ankyrin repeats-containing protein	cubi_01754	Cryptosporidium ubiquitum	435				
A0A0M9VXS4	A0A0M9VXS4	unreviewed	A0A0M9VXS4_9HYPO	Dilute domain-containing protein	ESCO_006580	Escovopsis weberi	769				
A0A0B1ZQ77	A0A0B1ZQ77	unreviewed	A0A0B1ZQ77_9SPHN	Ankyrin	LK12_02935	Novosphingobium malaysiense	447				
L8H6M6	L8H6M6	unreviewed	L8H6M6_ACACA	Ankyrin repeat/Protein kinase domain containing protein	ACA1_278630	Acanthamoeba castellanii str. Neff	351	phosphorylation [GO:0016310]		kinase activity [GO:0016301]	GO:0016301; GO:0016310
W4LG22	W4LG22	unreviewed	W4LG22_9BACT	Uncharacterized protein	ETSY1_25695	Candidatus Entotheonella factor	400				
A0A1R3H836	A0A1R3H836	unreviewed	A0A1R3H836_COCAP	PGG domain-containing protein	CCACVL1_21137	Corchorus capsularis (Jute)	496		membrane [GO:0016020]		GO:0016020
A0A0D2JEU8	A0A0D2JEU8	unreviewed	A0A0D2JEU8_9BACT	Uncharacterized protein	J120_01240	candidate division TM6 bacterium JCVI TM6SC1	504				
N4VP08	N4VP08	unreviewed	N4VP08_COLOR	Putative ankyrin repeat protein	Cob_v006197	Colletotrichum orbiculare (strain 104-T / ATCC 96160 / CBS 514.97 / LARS 414 / MAFF 240422) (Cucumber anthracnose fungus) (Colletotrichum lagenarium)	692				
A0A1B0GJI4	A0A1B0GJI4	unreviewed	A0A1B0GJI4_LUTLO	Ion transport domain-containing protein		Lutzomyia longipalpis (Sand fly)	988	response to stimulus [GO:0050896]	cation channel complex [GO:0034703]	monoatomic ion channel activity [GO:0005216]	GO:0005216; GO:0034703; GO:0050896
A0A1J9QWK8	A0A1J9QWK8	unreviewed	A0A1J9QWK8_9PEZI	Serine threonine-protein phosphatase 6 regulatory ankyrin repeat subunit b-like	BKCO1_3800018	Diplodia corticola	705				
A0A286XBT5	A0A286XBT5	unreviewed	A0A286XBT5_CAVPO	Annexin	ANXA5	Cavia porcellus (Guinea pig)	318	negative regulation of coagulation [GO:0050819]; response to organic substance [GO:0010033]	endothelial microparticle [GO:0072563]; external side of plasma membrane [GO:0009897]	calcium ion binding [GO:0005509]; calcium-dependent phospholipid binding [GO:0005544]; phosphatidylserine binding [GO:0001786]	GO:0001786; GO:0005509; GO:0005544; GO:0009897; GO:0010033; GO:0050819; GO:0072563
A0A1A3QR19	A0A1A3QR19	unreviewed	A0A1A3QR19_9MYCO	Transcription antitermination regulator	A5655_03925	Mycobacterium sp. 1081908.1	226			RNA binding [GO:0003723]	GO:0003723
S2JNM2	S2JNM2	unreviewed	S2JNM2_MUCC1	VPS9 domain-containing protein	HMPREF1544_11957	Mucor circinelloides f. circinelloides (strain 1006PhL) (Mucormycosis agent) (Calyptromyces circinelloides)	1116			phosphatidylinositol binding [GO:0035091]	GO:0035091
A0A098G0S6	A0A098G0S6	unreviewed	A0A098G0S6_9GAMM	Uncharacterized protein	LFA_0665	Legionella fallonii LLAP-10	927		membrane [GO:0016020]		GO:0016020
A0A2A2K618	A0A2A2K618	unreviewed	A0A2A2K618_9BILA	phospholipase A2 (EC 3.1.1.4)	WR25_09048	Diploscapter pachys	995	lipid catabolic process [GO:0016042]		calcium-independent phospholipase A2 activity [GO:0047499]	GO:0016042; GO:0047499
W4FXY6	W4FXY6	unreviewed	W4FXY6_APHAT	Annexin	H257_12971	Aphanomyces astaci (Crayfish plague agent)	362			calcium ion binding [GO:0005509]; calcium-dependent phospholipid binding [GO:0005544]	GO:0005509; GO:0005544
A0A093ZNL8	A0A093ZNL8	unreviewed	A0A093ZNL8_9PEZI	Uncharacterized protein	V493_08249	Pseudogymnoascus sp. VKM F-4281 (FW-2241)	742		membrane [GO:0016020]		GO:0016020
A0A0N9IDT3	A0A0N9IDT3	unreviewed	A0A0N9IDT3_9PSEU	ANTAR domain-containing protein	AOZ06_08605	Kibdelosporangium phytohabitans	222			RNA binding [GO:0003723]	GO:0003723
B4R9G7	B4R9G7	unreviewed	B4R9G7_PHEZH	Alternative oxidase	PHZ_c3018	Phenylobacterium zucineum (strain HLK1)	229		intracellular organelle [GO:0043229]; membrane [GO:0016020]	alternative oxidase activity [GO:0009916]; metal ion binding [GO:0046872]	GO:0009916; GO:0016020; GO:0043229; GO:0046872
V4TQ11	V4TQ11	unreviewed	V4TQ11_CITCL	AP2/ERF domain-containing protein	CICLE_v10023840mg	Citrus clementina (Clementine) (Citrus deliciosa x Citrus sinensis)	229	glucosinolate metabolic process [GO:0019760]	nucleus [GO:0005634]	DNA-binding transcription factor activity [GO:0003700]; transcription cis-regulatory region binding [GO:0000976]	GO:0000976; GO:0003700; GO:0005634; GO:0019760
A0A1W4XGN4	A0A1W4XGN4	unreviewed	A0A1W4XGN4_AGRPL	Anoctamin	LOC108744053	Agrilus planipennis (Emerald ash borer) (Agrilus marcopoli)	800		membrane [GO:0016020]	protein dimerization activity [GO:0046983]	GO:0016020; GO:0046983
A0A2C1JW05	A0A2C1JW05	unreviewed	A0A2C1JW05_9BACI	2-dehydropantoate 2-reductase (EC 1.1.1.169) (Ketopantoate reductase)	COD11_24060	Bacillus sp. AFS040349	294	pantothenate biosynthetic process [GO:0015940]		2-dehydropantoate 2-reductase activity [GO:0008677]	GO:0008677; GO:0015940
A0A1H3QQH2	A0A1H3QQH2	unreviewed	A0A1H3QQH2_9MICO	2-dehydropantoate 2-reductase	SAMN05216554_2661	Herbiconiux ginsengi	342			oxidoreductase activity [GO:0016491]	GO:0016491
